sessionId,deviceAddress,filterId,index,timestamp,offsetMs,distanceCm,source_file,rawDistanceCm,movingMeanCm,deviationFromMovingMeanCm
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,521,2026-07-09 13:26:48.414000+00:00,1783603608414,103.36643236074272,filtertrack-samples.csv,101.0,103.36643236074272,2.3664323607427207
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,523,2026-07-09 13:26:48.728000+00:00,1783603608728,103.36643236074272,filtertrack-samples.csv,102.1,103.36643236074272,1.2664323607427264
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,533,2026-07-09 13:26:50.499000+00:00,1783603610499,103.36643236074272,filtertrack-samples.csv,100.37,103.36643236074272,2.996432360742716
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,577,2026-07-09 13:26:57.818000+00:00,1783603617818,103.36643236074272,filtertrack-samples.csv,101.65,103.36643236074272,1.716432360742715
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,578,2026-07-09 13:26:58.223000+00:00,1783603618223,103.36643236074272,filtertrack-samples.csv,101.0,103.36643236074272,2.3664323607427207
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,579,2026-07-09 13:26:58.313000+00:00,1783603618313,103.36643236074272,filtertrack-samples.csv,100.56,103.36643236074272,2.8064323607427184
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,580,2026-07-09 13:26:58.405000+00:00,1783603618405,103.36643236074272,filtertrack-samples.csv,100.98,103.36643236074272,2.3864323607427167
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,582,2026-07-09 13:26:58.722000+00:00,1783603618722,103.36643236074272,filtertrack-samples.csv,102.31,103.36643236074272,1.0564323607427184
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,583,2026-07-09 13:26:58.808000+00:00,1783603618808,103.36643236074272,filtertrack-samples.csv,101.47,103.36643236074272,1.8964323607427218
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,584,2026-07-09 13:26:59.048000+00:00,1783603619048,103.36643236074272,filtertrack-samples.csv,101.49,103.36643236074272,1.8764323607427258
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,586,2026-07-09 13:26:59.213000+00:00,1783603619213,103.36643236074272,filtertrack-samples.csv,101.87,103.36643236074272,1.4964323607427161
