timestamp,distance_cm,cluster_support,session_id,source_file
2026-07-09 13:26:02+00:00,27.535,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:03+00:00,27.740000000000002,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:04+00:00,28.055,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:05+00:00,28.575,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:06+00:00,29.32,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:17+00:00,52.77,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:18+00:00,53.64,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:29+00:00,78.96,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:40+00:00,94.68,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:41+00:00,94.74,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:42+00:00,95.35,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:43+00:00,95.555,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:45+00:00,96.655,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:46+00:00,97.39,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:47+00:00,97.1,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:49+00:00,97.95,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:51+00:00,99.69,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:52+00:00,99.38499999999999,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:53+00:00,99.03,7,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:54+00:00,99.455,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:55+00:00,99.615,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:56+00:00,99.53,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:57+00:00,100.17500000000001,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:58+00:00,101.0,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:26:59+00:00,101.7,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:01+00:00,103.44,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:02+00:00,102.77000000000001,2,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:03+00:00,102.875,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:06+00:00,104.82499999999999,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:07+00:00,104.07,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:08+00:00,104.035,6,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:09+00:00,103.4,4,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:10+00:00,103.62,7,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:11+00:00,103.64,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:12+00:00,104.05,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:13+00:00,104.47,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:14+00:00,104.26,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:15+00:00,104.28,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:16+00:00,104.26,3,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:17+00:00,104.28999999999999,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:19+00:00,105.355,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:21+00:00,105.16,8,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:22+00:00,105.0,5,session-1783603457869-ue25e2,filtertrack-samples.csv
2026-07-09 13:27:23+00:00,104.94,5,session-1783603457869-ue25e2,filtertrack-samples.csv
