sessionId,deviceAddress,filterId,index,timestamp,offsetMs,distanceCm
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,0,2026-07-09T13:24:22.885000Z,1783603462885,29.05
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,1,2026-07-09T13:24:23.066000Z,1783603463066,75.65
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,2,2026-07-09T13:24:23.337000Z,1783603463337,25.6
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,3,2026-07-09T13:24:24.327000Z,1783603464327,27.08
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,4,2026-07-09T13:24:24.461000Z,1783603464461,27.33
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,5,2026-07-09T13:24:25.138000Z,1783603465138,25.58
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,6,2026-07-09T13:24:25.513000Z,1783603465513,28.01
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,7,2026-07-09T13:24:25.724000Z,1783603465724,25.56
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,8,2026-07-09T13:24:27.972000Z,1783603467972,26.19
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,9,2026-07-09T13:24:28.510000Z,1783603468510,25.77
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,10,2026-07-09T13:24:31.256000Z,1783603471256,25.32
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,11,2026-07-09T13:24:31.842000Z,1783603471842,25.72
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,12,2026-07-09T13:24:36.162000Z,1783603476162,39.72
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,13,2026-07-09T13:24:36.342000Z,1783603476342,34.93
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,14,2026-07-09T13:24:36.431000Z,1783603476431,32.82
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,15,2026-07-09T13:24:36.581000Z,1783603476581,30.59
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,16,2026-07-09T13:24:36.702000Z,1783603476702,28.18
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,17,2026-07-09T13:24:36.791000Z,1783603476791,32.58
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,18,2026-07-09T13:24:37.062000Z,1783603477062,25.18
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,19,2026-07-09T13:24:54.703000Z,1783603494703,26.02
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,20,2026-07-09T13:24:56.141000Z,1783603496141,26.17
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,21,2026-07-09T13:25:07.530000Z,1783603507530,25.3
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,22,2026-07-09T13:25:07.531000Z,1783603507531,25.11
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,23,2026-07-09T13:25:08.250000Z,1783603508250,25.29
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,24,2026-07-09T13:25:08.251000Z,1783603508251,25.34
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,25,2026-07-09T13:25:08.292000Z,1783603508292,25.3
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,26,2026-07-09T13:25:08.294000Z,1783603508294,25.35
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,27,2026-07-09T13:25:08.294000Z,1783603508294,25.32
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,28,2026-07-09T13:25:08.339000Z,1783603508339,25.3
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,29,2026-07-09T13:25:08.475000Z,1783603508475,25.35
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,30,2026-07-09T13:25:08.476000Z,1783603508476,25.32
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,31,2026-07-09T13:25:08.476000Z,1783603508476,25.3
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,32,2026-07-09T13:25:08.835000Z,1783603508835,25.08
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,33,2026-07-09T13:25:10.230000Z,1783603510230,30.47
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,34,2026-07-09T13:25:13.648000Z,1783603513648,25.29
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,35,2026-07-09T13:25:13.961000Z,1783603513961,25.34
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,36,2026-07-09T13:25:14.054000Z,1783603514054,25.13
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,37,2026-07-09T13:25:14.232000Z,1783603514232,25.29
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,38,2026-07-09T13:25:15.808000Z,1783603515808,25.3
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,39,2026-07-09T13:25:17.428000Z,1783603517428,25.11
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,40,2026-07-09T13:25:19.454000Z,1783603519454,25.32
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,41,2026-07-09T13:25:19.814000Z,1783603519814,25.13
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,42,2026-07-09T13:25:19.904000Z,1783603519904,25.13
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,43,2026-07-09T13:25:20.039000Z,1783603520039,25.35
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,44,2026-07-09T13:25:20.399000Z,1783603520399,25.13
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,45,2026-07-09T13:25:20.731000Z,1783603520731,25.08
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,46,2026-07-09T13:25:21.030000Z,1783603521030,25.09
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,47,2026-07-09T13:25:21.119000Z,1783603521119,25.09
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,48,2026-07-09T13:25:21.168000Z,1783603521168,25.11
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,49,2026-07-09T13:25:21.311000Z,1783603521311,25.11
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,50,2026-07-09T13:25:21.387000Z,1783603521387,25.13
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,51,2026-07-09T13:25:21.613000Z,1783603521613,25.11
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,52,2026-07-09T13:25:21.794000Z,1783603521794,25.13
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,53,2026-07-09T13:25:22.080000Z,1783603522080,25.09
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,54,2026-07-09T13:25:22.606000Z,1783603522606,25.08
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,55,2026-07-09T13:25:23.015000Z,1783603523015,25.13
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,56,2026-07-09T13:25:23.016000Z,1783603523016,25.11
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,57,2026-07-09T13:25:23.144000Z,1783603523144,25.55
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,58,2026-07-09T13:25:23.294000Z,1783603523294,25.56
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,59,2026-07-09T13:25:23.653000Z,1783603523653,25.6
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,60,2026-07-09T13:25:23.818000Z,1783603523818,25.6
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,61,2026-07-09T13:25:23.907000Z,1783603523907,25.01
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,62,2026-07-09T13:25:24.042000Z,1783603524042,25.62
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,63,2026-07-09T13:25:24.284000Z,1783603524284,25.77
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,64,2026-07-09T13:25:24.402000Z,1783603524402,25.77
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,65,2026-07-09T13:25:24.448000Z,1783603524448,25.76
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,66,2026-07-09T13:25:24.734000Z,1783603524734,25.79
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,67,2026-07-09T13:25:24.913000Z,1783603524913,25.77
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,68,2026-07-09T13:25:25.227000Z,1783603525227,25.74
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,69,2026-07-09T13:25:25.347000Z,1783603525347,25.76
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,70,2026-07-09T13:25:25.349000Z,1783603525349,25.74
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,71,2026-07-09T13:25:25.439000Z,1783603525439,25.74
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,72,2026-07-09T13:25:26.069000Z,1783603526069,25.74
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,73,2026-07-09T13:25:26.205000Z,1783603526205,25.77
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,74,2026-07-09T13:25:26.339000Z,1783603526339,26.63
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,75,2026-07-09T13:25:26.340000Z,1783603526340,25.72
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,76,2026-07-09T13:25:26.490000Z,1783603526490,25.77
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,77,2026-07-09T13:25:26.608000Z,1783603526608,25.81
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,78,2026-07-09T13:25:26.696000Z,1783603526696,25.79
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,79,2026-07-09T13:25:26.880000Z,1783603526880,25.77
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,80,2026-07-09T13:25:27.192000Z,1783603527192,25.86
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,81,2026-07-09T13:25:27.283000Z,1783603527283,25.83
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,82,2026-07-09T13:25:27.508000Z,1783603527508,25.83
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,83,2026-07-09T13:25:27.644000Z,1783603527644,25.81
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,84,2026-07-09T13:25:27.823000Z,1783603527823,25.83
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,85,2026-07-09T13:25:28.230000Z,1783603528230,25.98
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,86,2026-07-09T13:25:28.319000Z,1783603528319,25.97
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,87,2026-07-09T13:25:28.679000Z,1783603528679,25.95
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,88,2026-07-09T13:25:28.723000Z,1783603528723,26.0
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,89,2026-07-09T13:25:29.039000Z,1783603529039,25.98
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,90,2026-07-09T13:25:29.145000Z,1783603529145,26.0
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,91,2026-07-09T13:25:29.214000Z,1783603529214,25.95
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,92,2026-07-09T13:25:29.347000Z,1783603529347,26.02
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,93,2026-07-09T13:25:29.663000Z,1783603529663,25.98
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,94,2026-07-09T13:25:29.904000Z,1783603529904,26.0
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,95,2026-07-09T13:25:29.978000Z,1783603529978,25.98
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,96,2026-07-09T13:25:30.383000Z,1783603530383,25.55
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,97,2026-07-09T13:25:30.519000Z,1783603530519,25.98
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,98,2026-07-09T13:25:30.564000Z,1783603530564,26.0
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,99,2026-07-09T13:25:30.803000Z,1783603530803,26.0
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,100,2026-07-09T13:25:30.923000Z,1783603530923,25.08
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,101,2026-07-09T13:25:31.103000Z,1783603531103,26.0
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,102,2026-07-09T13:25:31.194000Z,1783603531194,26.0
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,103,2026-07-09T13:25:31.377000Z,1783603531377,25.98
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,104,2026-07-09T13:25:31.465000Z,1783603531465,25.97
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,105,2026-07-09T13:25:31.687000Z,1783603531687,25.97
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,106,2026-07-09T13:25:31.915000Z,1783603531915,25.95
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,107,2026-07-09T13:25:32.184000Z,1783603532184,25.97
session-1783603457869-ue25e2,10:51:DB:0D:31:EA,b3bb9015,108,2026-07-09T13:25:32.228000Z,1783603532228,26.02
